EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C56DE799106,,E799106,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,07-05-2012,550,,,,,,,,,,
668 - Jet Black,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C58DE799107,,E799107,"MSRP.1,2MK,2MT.1,302,322,403,494,4MY,507,6FL",,,07-05-2012,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799108,,E799108,"MSRP.1,ZCP,ZPP.2,2MK,302,494,6FL",,,07-05-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C51DE799109,,E799109,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-05-2012,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C58DE799110,,E799110,"MSRP.1,ZPP.1,2MK,302,494,6FL,752",,,07-05-2012,550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C5XDE799111,,E799111,"MSRP.1,ZCP,ZCW,302,322,415,4MY,507,609,6FL,6NF,6NR,655,752",,,07-05-2012,550/2000,,CAN,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C51DE799112,,E799112,"MSRP.1,ZCP,2MK,302,322,6FL,771",,,08-17-2012,,,,,,,,,,,
327 - Santorini Blue ,,NCSW - Black Novillo Leather,2013,WBSKG9C53DE799113,,E799113,"MSRP.1,IND,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-16-2012,,,,,,,,,,,
337 - Dakar Yellow 2,,NCSW - Black Novillo Leather,2013,WBSKG9C55DE799114,,E799114,"MSRP.1,IND,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,07-16-2012,,,,,,,,,,,
U83 - Frozen Grey ,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C57DE799115,,E799115,"MSRP.1,IND,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,07-16-2012,1100,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C59DE799116,,E799116,"MSRP.1,IND,ZCP,ZPP.3,302,6FL",,,07-19-2012,,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C50DE799117,,E799117,"MSRP.1,IND,ZCP,ZCW,2MK,6NR,655,752",,,07-20-2012,2000,,CAN,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C52DE799118,,E799118,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,07-06-2012,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2013,WBSKG9C54DE799119,,E799119,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655",,,07-05-2012,550,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH1 - Silver Novillo Leather,2013,WBSKG9C50DE799120,,E799120,"MSRP.1,ZCP,ZCW,ZPP.2,302,403,6FL",,,07-06-2012,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C52DE799121,,E799121,"MSRP.1,ZCP,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,07-06-2012,,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C54DE799122,,E799122,"MSRP.1,ZCP,ZPP.3,302,494,6FL,6NF,6NR,655,752",,,07-06-2012,,,,,,,,,,,
A75 - Melbourne Red Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C56DE799123,,E799123,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,752",,,07-06-2012,550/1100,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C58DE799124,,E799124,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,07-06-2012,550,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDE799125,,E799125,"MSRP.1,ZCP,ZPP.1,2MK,302,6FL,6NF,6NR,752",,,07-06-2012,550,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C51DE799126,,E799126,"MSRP.1,494,507,609,6FL,655",,,07-07-2012,2000,,,,,,,,,,
300 - Alpine White,,NCH3 - Beige Novillo Leather,2013,WBSKG9C53DE799127,,E799127,"MSRP.1,494,507,609,6FL,655",,,07-09-2012,950,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C55DE799128,,E799128,"MSRP.1,ZCP,ZCW,ZPP.1,2MK,302,403,5AC,6FL,6NF,6NR",,,07-09-2012,550,,,,,,,,,,
