EXTERIOR,,INTERIOR,2011,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
300 - Alpine White,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C56DJ592948,,J592948,"MSRP.1,ZCP,ZPP.3,302,6FL,6NF,6NR,655",,,"Aug 10, 2012",,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C58DJ592949,,J592949,"MSRP.1,ZCP,302,6FL,771",,,"Aug 11, 2012",,,,,,,,,,,
668 - Jet Black,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C54DJ592950,,J592950,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,"Aug 11, 2012",,,,,,,,,,,
668 - Jet Black,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C56DJ592951,,J592951,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 11, 2012",,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C58DJ592952,,J592952,"MSRP.1,ZCP,ZPP.1,302,494,6FL,655",,,"Aug 11, 2012",1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C5XDJ592953,,J592953,"MSRP.1,ZCP,ZCW,2MK,302,322,415,4MY,507,609,6FL,6NF,6NR,655,752",,,"Aug 13, 2012",2000,,CAN,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C51DJ592954,,J592954,"MSRP.1,ZCP,ZCW,302,322,4MX,609,6FL,6NF,6NR",,,"Aug 13, 2012",950,,CAN,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2013,WBSKG9C53DJ592955,,J592955,"MSRP.1,ZCP,ZPP.1,2MK,302,403,494,6FL,6NF,6NR,752",,,"Aug 13, 2012",550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C55DJ592956,,J592956,"MSRP.1,ZCW,ZPP.3,2MK,2MT.1,302,403,5AC,6FL",,,"Aug 14, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C57DJ592957,,J592957,"MSRP.1,ZPP.3,2MK,302,403,494,6FL,6NF,6NR",,,"Aug 14, 2012",550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH1 - Silver Novillo Leather,2013,WBSKG9C59DJ592958,,J592958,"MSRP.1,302,403,4MY,609,6FL",,,"Aug 14, 2012",550/950,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C50DJ592959,,J592959,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 14, 2012",,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C57DJ592960,,J592960,"MSRP.1,ZCP,ZCW,ZPP.3,302,6FL,6NF,6NR,655,752",,,"Aug 16, 2012",,,,,,,,,,,
A96 - Mineral White Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C59DJ592961,,J592961,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 16, 2012",,,,,,,,,,,
A96 - Mineral White Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C50DJ592962,,J592962,"MSRP.1,2MT.1,302,403,4MY,6FL",,,"Aug 16, 2012",950,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C52DJ592963,,J592963,"MSRP.1,ZCW,ZPP.3,302,403,6FL",,,"Aug 16, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C54DJ592964,,J592964,"MSRP.1,LRPE,ZCP,2MK,302,4MY,609,6FL,6NF,6NR,655",,,"Aug 20, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C56DJ592965,,J592965,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,6FL,655,752",,,"Aug 20, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C58DJ592966,,J592966,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C5XDJ592967,,J592967,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 18, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C51DJ592968,,J592968,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,302,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C53DJ592969,,J592969,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDJ592970,,J592970,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C51DJ592971,,J592971,"MSRP.1,LRPE,ZCP,ZPP.3,302,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C53DJ592972,,J592972,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
W93 - Frozen Brilliant White Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C55DJ592973,,J592973,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C57DJ592974,,J592974,"MSRP.1,LRPE,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C59DJ592975,,J592975,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C50DJ592976,,J592976,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,6FL",,,"Aug 21, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C52DJ592977,,J592977,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C54DJ592978,,J592978,"MSRP.1,LRPE,ZCP,ZPP.3,2MK,302,494,6FL,655",,,"Aug 21, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C56DJ592979,,J592979,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",,,,,,,,,,,
W93 - Frozen Brilliant White Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C52DJ592980,,J592980,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 23, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C54DJ592981,,J592981,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C56DJ592982,,J592982,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C58DJ592983,,J592983,"MSRP.1,LRPE,ZCP,302,494,4MY,609,6FL,6NF,6NR",,,"Aug 23, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDJ592984,,J592984,"MSRP.1,LRPE,ZCP,ZPP.3,302,494,6FL,655",,,"Aug 23, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C51DJ592985,,J592985,"MSRP.1,LRPE,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 24, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C53DJ592986,,J592986,"MSRP.1LRPE,,ZCP,ZCW,ZPP.3,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 24, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C55DJ592987,,J592987,"MSRP.1,LRPE,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 24, 2012",1100,,,,,,,,,,
U94 - Fire Orange 2,,NCSW - Black Novillo Leather,2013,WBSKG9C57DJ592988,,J592988,"MSRP.1,LRPE,ZCP,ZPP.3,302,494,5AC,6FL,6NF,6NR,655,752",,,"Aug 23, 2012",,,,,,,,,,,
U94 - Fire Orange 2,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C59DJ592989,,J592989,"MSRP.1,LRPE,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,"Aug 23, 2012",1100,,,,,,,,,,
448 - Ind. Lauguna Seca Blue,,NCSW - Black Novillo Leather,2013,WBSKG9C55DJ592990,,J592990,"MSRP.1,IND,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 23, 2012",,,,,,,,,,,
B05 - Monte Carlo Blue,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C57DJ592991,,J592991,"MSRP.1,IND,302,6FL,771",,,"Aug 23, 2012",,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2013,WBSKG9C59DJ592992,,J592992,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,752",,,"Aug 16, 2012",550,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C50DJ592993,,J592993,"MSRP.1,ZCP,ZCW,ZPP.3,302,6FL,6NF,6NR,655",,,"Aug 16, 2012",550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH4 - Palladium/Black Novillo Leather,2013,WBSKG9C52DJ592994,,J592994,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 16, 2012",550,,,,,,,,,,
668 - Jet Black,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C54DJ592995,,J592995,"MSRP.1,ZCP,ZPP.3,302,403,494,6FL,6NF,6NR,655,752",,,"Aug 17, 2012",,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C56DJ592996,,J592996,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 17, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C58DJ592997,,J592997,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,6NF,6NR,752",,,"Aug 17, 2012",550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDJ592998,,J592998,"MSRP.1,2MK,302,322,609,6FL,6NF,6NR,771",,,"Aug 17, 2012",950,,,,,,,,,,
A96 - Mineral White Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C51DJ592999,,J592999,"MSRP.1,ZCP,ZCW,2MK,302,322,415,4MY,507,609,6FL,6NF,6NR,655,752",,,"Aug 18, 2012",950,,CAN,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2013,WBSKG9C52DJ593000,,J593000,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 17, 2012",550,,,,,,,,,,
381 - Le Mans Blue Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C54DJ593001,,J593001,"MSRP.1,ZCP,ZPP.1,2MK,302,494,6FL,6NF,6NR",,,"Aug 18, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C56DJ593002,,J593002,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,752",,,"Aug 18, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH4 - Palladium/Black Novillo Leather,2013,WBSKG9C58DJ593003,,J593003,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 18, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C5XDJ593004,,J593004,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655",,,"Aug 18, 2012",550,,,,,,,,,,
A52 - Space Gray Metallic,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C51DJ593005,,J593005,"MSRP.1,ZCP,ZCW,ZPP.1,2MK,302,403,6FL,6NF,6NR,655",,,"Aug 18, 2012",550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C53DJ593006,,J593006,"MSRP.1,ZCP,ZPP.1,302,6FL",,,"Aug 18, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C55DJ593007,,J593007,"MSRP.1,ZCP,2MK,302,322,494,4MX,609,6FL",,,"Aug 18, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C57DJ593008,,J593008,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 18, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C59DJ593009,,J593009,"MSRP.1,ZCW,2MK,2MT.1,302,322,403,415,4MX,507,609,6FL,6NF,6NR,655,752",,,"Aug 18, 2012",550/950,,CAN,,,,,,,,
A73 - Jerez Black Metallic,,NCH4 - Palladium/Black Novillo Leather,2013,WBSKG9C55DJ593010,,J593010,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C57DJ593011,,J593011,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C59DJ593012,,J593012,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C50DJ593013,,J593013,"MSRP.1,ZCW,ZPP.1,302,6FL,6NF,6NR,752",,,"Aug 20, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C52DJ593014,,J593014,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,752",,,"Aug 20, 2012",,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C54DJ593015,,J593015,"MSRP.1,ZCP,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
300 - Alpine White,,NCH4 - Palladium/Black Novillo Leather,2013,WBSKG9C56DJ593016,,J593016,"MSRP.1,ZCP,ZPP.3,2MK,302,403,494,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
668 - Jet Black,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C58DJ593017,,J593017,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,752",,,"Aug 20, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDJ593018,,J593018,"MSRP.1,ZCP,ZCW,ZPP.3,302,403,6FL,655,752",,,"Aug 20, 2012",,,,,,,,,,,
668 - Jet Black,,NCH4 - Palladium/Black Novillo Leather,2013,WBSKG9C51DJ593019,,J593019,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C58DJ593020,,J593020,"MSRP.1,ZCP,ZCW,ZPP.3,302,403,6FL,6NF,6NR,655,752",,,"Aug 20, 2012",,,,,,,,,,,
A96 - Mineral White Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C5XDJ593021,,J593021,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",1100,,,,,,,,,,
A52 - Space Gray Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C51DJ593022,,J593022,"MSRP.1,ZPP.2,2MK,2MT.1,302,6FL,6NF,6NR,655",,,"Aug 21, 2012",550/1100,,,,,,,,,,
A52 - Space Gray Metallic,,NCH5 - Fox Red/Black Novillo Leather,2013,WBSKG9C53DJ593023,,J593023,"MSRP.1,ZCP,ZPP.3,2MK,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",550,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C55DJ593024,,J593024,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH3 - Beige Novillo Leather,2013,WBSKG9C57DJ593025,,J593025,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,403,5AC,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C59DJ593026,,J593026,"MSRP.1,ZCP,ZPP.3,2MK,302,403,494,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C50DJ593027,,J593027,"MSRP.1,ZCP,ZCW,2MK,302,322,415,4MY,507,5AC,609,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",550/950,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH3 - Beige Novillo Leather,2013,WBSKG9C52DJ593028,,J593028,"MSRP.1,ZCP,ZPP.3,2MK,302,403,494,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C54DJ593029,,J593029,"MSRP.1,ZCW,ZPP.3,2MT.1,302,403,6FL,655",,,"Aug 21, 2012",,,,,,,,,,,
A96 - Mineral White Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C50DJ593030,,J593030,"MSRP.1,ZPP.2,2MT.1,302,403,6FL,6NF,6NR,655",,,"Aug 21, 2012",1100,,,,,,,,,,
300 - Alpine White,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C52DJ593031,,J593031,"MSRP.1,2MK,302,4MY,6FL",,,"Aug 21, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C54DJ593032,,J593032,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C56DJ593033,,J593033,"MSRP.1,ZCP,ZPP.3,302,494,6FL",,,"Aug 21, 2012",,,,,,,,,,,
668 - Jet Black,,NCH4 - Palladium/Black Novillo Leather,2013,WBSKG9C58DJ593034,,J593034,"MSRP.1,ZCP,ZPP.3,2MK,302,403,494,6FL,6NF,6NR,655,752",,,"Aug 21, 2012",,,,,,,,,,,
A96 - Mineral White Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C5XDJ593035,,J593035,"MSRP.1,ZCP,ZCW,ZPP.1,302,403,6FL,752",,,"Aug 21, 2012",1100,,,,,,,,,,
A96 - Mineral White Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C51DJ593036,,J593036,"MSRP.1,ZCP,ZCW,ZPP.1,2MK,302,5AC,6FL,6NF,6NR,752",,,"Aug 22, 2012",,,,,,,,,,,
668 - Jet Black,,NDSW - Black Extended Novillo Leather,2013,WBSKG9C53DJ593037,,J593037,"MSRP.1,ZCP,ZPP.3,302,5AC,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",1100,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C55DJ593038,,J593038,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,403,6FL,6NF,6NR,655",,,"Aug 22, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C57DJ593039,,J593039,"MSRP.1,ZCP,ZPP.3,2MK,302,494,5AC,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",,,,,,,,,,,
300 - Alpine White,,NCH1 - Silver Novillo Leather,2013,WBSKG9C53DJ593040,,J593040,"MSRP.1,ZPP.3,2MK,2MT.1,302,494,6FL,6NF,6NR,752",,,"Aug 22, 2012",,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C55DJ593041,,J593041,"MSRP.1,ZCP,ZCW,ZPP.1,302,403,6FL,752",,,"Aug 22, 2012",,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C57DJ593042,,J593042,"MSRP.1,ZCW,2MK,2MT.1,302,322,403,4MX,5AC,609,6FL,6NF,6NR",,,"Aug 22, 2012",550/950,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C59DJ593043,,J593043,"MSRP.1,ZCP,ZCW,ZPP.1,302,403,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2013,WBSKG9C50DJ593044,,J593044,"MSRP.1,ZCP,ZPP.3,302,6FL",,,"Aug 22, 2012",,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2013,WBSKG9C52DJ593045,,J593045,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",,,,,,,,,,,
A96 - Mineral White Metallic,,GEAT - Anthracite/Black Cloth & Leather,2013,WBSKG9C54DJ593046,,J593046,"MSRP.1,ZCP,2MK,302,415,507,609,6FL,6NF,6NR,771",,,"Aug 22, 2012",,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2013,WBSKG9C56DJ593047,,J593047,"MSRP.1,ZPP.3,2MK,2MT.1,302,403,494,6FL,655,752",,,"Aug 22, 2012",,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C58DJ593048,,J593048,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,655,752",,,"Aug 22, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDJ593049,,J593049,"MSRP.1,2MK,2MT.1,302,322,415,494,4MY,609,6FL,6NF,6NR,752",,,"Aug 22, 2012",550/950,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C56DJ593050,,J593050,"MSRP.1,ZCP,ZPP.2,2MK,302,494,6FL,6NF,6NR",,,"Aug 22, 2012",550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH1 - Silver Novillo Leather,2013,WBSKG9C58DJ593051,,J593051,"MSRP.1,ZCP,ZPP.3,302,403,494,6FL,655,752",,,"Aug 22, 2012",550,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C5XDJ593052,,J593052,"MSRP.1,ZCP,ZPP.3,2MK,302,494,6FL,655,752",,,"Aug 22, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C51DJ593053,,J593053,"MSRP.1,302,403,494,4MZ,507,609,6FL",,,"Aug 22, 2012",550/950,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C53DJ593054,,J593054,"MSRP.1,ZCP,ZPP.3,2MK,302,6FL,6NF,6NR,655",,,"Aug 23, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C55DJ593055,,J593055,"MSRP.1,ZCP,ZCW,ZPP.1,302,403,5AC,6FL,6NF,6NR,655,752",,,"Aug 23, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C57DJ593056,,J593056,"MSRP.1,ZCP,ZPP.3,2MK,302,403,6FL,655",,,"Aug 23, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C59DJ593057,,J593057,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,403,5AC,6FL,6NF,6NR,752",,,"Aug 23, 2012",550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH1 - Silver Novillo Leather,2013,WBSKG9C50DJ593058,,J593058,"MSRP.1,ZCP,ZCW,ZPP.1,2MK,302,403,6FL,655,752",,,"Aug 23, 2012",550,,,,,,,,,,
A52 - Space Gray Metallic,,NDH3 - Beige Novillo Extended Leather,2013,WBSKG9C52DJ593059,,J593059,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,6FL,6NF,6NR,752",,,"Aug 23, 2012",550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NDH2 - Fox Red Extended Leather,2013,WBSKG9C59DJ593060,,J593060,"MSRP.1,ZCP,ZCW,ZPP.3,2MK,302,403,6FL,6NF,6NR,655,752",,,"Aug 23, 2012",550/1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2013,WBSKG9C50DJ593061,,J593061,"MSRP.1,ZPP.3,2MK,2MT.1,302,494,5AC,6FL,6NF,6NR,752",,,"Aug 23, 2012",550,,,,,,,,,,
