EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
,,,,,,,,,,,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2009,WBSWD93539PY43150,,PY43150,"MSRP,ZPP.1,2MK,494,653",,,08-29-2008,550,,,,,,,,,,
381 - Le Mans Blue Metallic,,NDSW - Black Extended Novillo Leather,2009,WBSWD93559PY43151,,PY43151,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,6FL,653",,,09-26-2008,550/1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSWD93579PY43152,,PY43152,"MSRP,ZCW,ZPP.1,ZTP,2MT.1,507,6FL,653,655,752",,,09-01-2008,,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2009,WBSWD93599PY43153,,PY43153,"MSRP,ZCW,ZPP.1,ZTP,2MK,2MT.1,6FL,653,752",,,09-01-2008,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH1 - Silver Novillo Leather,2009,WBSWD93509PY43154,,PY43154,"MSRP,ZCW,ZPP.1,ZTP,2MK,2MT.1,507,6FL,653,655,752",,,09-01-2008,550,,,,,,,,,,
A29 - Silverstone Metallic II,,NCH1 - Silver Novillo Leather,2009,WBSWD93529PY43155,,PY43155,"MSRP,771",,,09-01-2008,550/950,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSWD93549PY43156,,PY43156,"MSRP,ZPP.1,ZTP,2MK,6FL,653",,,09-01-2008,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2009,WBSWD93569PY43157,,PY43157,"MSRP,ZPP.3,2MK,2MT.1,403,6FL,655",,,09-01-2008,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - Fox Red Novillo Leather,2009,WBSWD93589PY43158,,PY43158,"MSRP,ZCW,ZPP.3,2MT.1,403,507",,,09-01-2008,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCSW - Black Novillo Leather,2009,WBSWD935X9PY43159,,PY43159,"MSRP,ZCW,ZPP.3,2MK,2MT.1,403,507,655",,,09-01-2008,550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSWD93569PY43160,,PY43160,"MSRP,ZCW,ZPP.1,ZTP,2MK,2MT.1,6FL,653,655,752",,,09-01-2008,,,,,,,,,,,
300 - Alpine White,,NCH2 - Fox Red Novillo Leather,2009,WBSWD93589PY43161,,PY43161,"MSRP,507,609,6FL,653,771",,,09-01-2008,950,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2009,WBSWD935X9PY43162,,PY43162,"MSRP,ZPP.3,ZTP,2MT.1,6FL,653,655,752",,,09-01-2008,1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2009,WBSWD93519PY43163,,PY43163,"MSRP,ZPP.3,ZTP,2MK,2MT.1,507,6FL,653,655,752",,,09-01-2008,550,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2009,WBSWD93539PY43164,,PY43164,"MSRP,ZCW,ZPP.1,ZTP,2MK,6FL,653,752",,,09-01-2008,550,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2009,WBSWD93559PY43165,,PY43165,"MSRP,ZPP.1,ZTP,653",,,09-01-2008,550,,,,,,,,,,
668 - Jet Black,,NCSW - Black Novillo Leather,2009,WBSWD93579PY43166,,PY43166,"MSRP,ZPP.3,ZTP,494,6FL,653,655,752",,,09-01-2008,,,,,,,,,,,
A29 - Silverstone Metallic II,,NCSW - Black Novillo Leather,2009,WBSWD93599PY43167,,PY43167,"MSRP,ZTP,2MK,2MT.1,494,4MY,6FL,653",,,09-01-2008,550/950,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2009,WBSWD93509PY43168,,PY43168,"MSRP,ZCW,ZPP.3,ZTP,2MK,2MT.1,507,6FL,653,655,752",,,09-01-2008,550,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSWD93529PY43169,,PY43169,"MSRP,ZPP.1,ZTP,2MT.1,494,507,653,655,752",,,09-01-2008,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2009,WBSWD93599PY43170,,PY43170,"MSRP,ZPP.3,2MK,2MT.1,322,494,507,609,6FL,6NF,653,655",,,09-01-2008,,,,,,,,,,,
