EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
,,,,,,,,,,,,,,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,,WBSWD9C5XAP362414,,P362414,"MSRP,ZCW,ZTP,4MY,6FL,653",,,10-15-2009,550,,,,,,,,,,
381 - Le Mans Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,,WBSWD9C51AP362415,,P362415,"MSRP,ZCW,ZTP,2MK,4MY,6FL",,,10-15-2009,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH1 - Silver Novillo Leather,,WBSWD9C53AP362416,,P362416,"MSRP,ZPP.1,ZTP,2MK,2MT.1,6FL,653,752",,,09-01-2009,550,,,,,,,,,,
A52 - Space Gray Metallic,,GEAT - Anthracite/Black Cloth & Leather,,WBSWD9C55AP362417,,P362417,"MSRP,223,302,639,771",,,09-01-2009,550,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - Fox Red Novillo Leather,,WBSWD9C57AP362418,,P362418,"MSRP,ZPP.3,ZTP,2MT.1,494,507",,,09-01-2009,550,,,,,,,,,,
A52 - Space Gray Metallic,,NDH1 - Silver Novillo Extended Leather,,WBSWD9C59AP362419,,P362419,"MSRP,2MT.1,302,494,609,6FL,771",,,09-01-2009,550/2000,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCSW - Black Novillo Leather,,WBSWD9C55AP362420,,P362420,"MSRP,771",,,09-01-2009,550/950,,,,,,,,,,
381 - Le Mans Blue Metallic,,NDH1 - Silver Novillo Extended Leather,,WBSWD9C57AP362421,,P362421,"MSRP,ZPP.3,ZTP,2MK,2MT.1,494,507,6FL,6NF,653,655,752",,,09-01-2009,550/1100,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,,WBSWD9C59AP362422,,P362422,"MSRP,ZPP.2,ZTP,2MK,2MT.1,403,494,653,655,752",,,09-01-2009,,,,,,,,,,,
381 - Le Mans Blue Metallic,,NDH3 - Beige Novillo Extended Leather,,WBSWD9C50AP362423,,P362423,"MSRP,ZPP.2,ZTP,2MK,2MT.1,403,494,507,6FL,6NF,653,655,752",,,09-01-2009,550/1100,,,,,,,,,,
