EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
300 - Alpine White,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C52BE202447,C52,E202447,"MSRP.1,ZCP,ZCW,ZPP.1,ZTP,2MK,403,417,507,6FL,6NF,655,752",,"$74,030.00",,,,Rudolph Honda,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C54BE202448,C54,E202448,"MSRP.1,ZCW,ZPP.1,ZTP,302,403,417,507,655,6FL,752",,"$68,880.00",,,CANADA,"BMW Toronto, CAN",,,,,,,
668 - Jet Black,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C56BE202449,C56,E202449,"MSRP.1,ZCW,ZPP.ZTP,2MK,2MT.1,403,5AC,6FL,655,752",,"$66,625.00",,,,BMW of Sherman Oaks,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C52BE202450,C52,E202450,"MSRP.1,ZCP,ZPP.3,ZTP,302,403,417,465,494,507,6NF,6FL,655,752",,"$71,505.00",,,,Shelly BMW,,,,,,,
300 - Alpine White,,NDH2 - EXT. FOX RED NOVILLO,2011,WBSPM9C54BE202451,C54,E202451,"MSRP.1,ZPP.3,ZTP,302,2MK,2MT.1,403,417,465,494,507,5AC,655,6FL,752",,"$74,305.00",,1100,,Steve Thomas BMW,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C56BE202452,C56,E202452,"MSRP.1,ZCW,ZPP.1,223,2MT.1,302,655,6FL,752",,"$66,375.00",,550,CANADA,"BMW Toronto, CAN",,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202453,C58,E202453,"MSRP.1,ZCW,ZPP.1,ZTP,302,403,2MK,2MT.1,655,6FL,752",,"$72,575.00",,550,CANADA," BMW Montreal Centre , CAN",,,,,,,
A73 - Jerez Black Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C5XBE202454,C5X,E202454,"MSRP,ZCP,ZTP,2MK,4MX,6FL",,"$68,175.00",,550,,BMW of Tucson,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202455,C51,E202455,"MSRP.1,ZCW,ZPP.3,302,322,403,2MT.1,688",,"$63,775.00",03-10-2010,550,"CANADA ""SALVAGE""","BMW Laval, CAN",,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C53BE202456,C53,E202456,"MSRP.1,ZCW,ZTP,302,403,417,507,639,6NF,6FL,752,771",,"$68,930.00",,550/950,,BMW of Mountain View,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C55BE202457,C55,E202457,"MSRP.1,ZCW,ZPP.2,ZTP,2MK,2MT.1,403,417,6FL",,"$69,950.00",03-10-2010,,,BMW of San Antonio,,,,,,,
A29 - SIlverstone II,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C57BE202458,C57,E202458,"MSRP.1,ZCP,ZPP.2,ZTP,2MK,6FL,6NF",,"$69,325.00",,550,STOLEN,Passport BMW,,,,,,,
A29 - SIlverstone II,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C59BE202459,C59,E202459,"MSRP.1,ZTP,2MK,417,507,639,771",,"$65,980.00",,550,,BMW of Mountain View,,,,,,,
381 - Le Mans Blue Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C55BE202460,C55,E202460,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,6FL,752",,"$72,225.00",03-11-2010,550,,BMW of Brooklyn,,,,,,,
300 - Alpine White,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C57BE202461,C57,E202461,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,302,326,403,655,6FL,752",,"$70,425.00",,,,The BMW Store,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202462,C59,E202462,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,655,6FL,752",,"$72,025.00",03-12-2010,,,,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C50BE202463,C50,E202463,"MSRP.1,ZCP,ZCW,ZPP.1,ZTP,2MK,302,5AC,655,6FL,752",,"$72,525.00",,,FLOOD DAMAGE,Sonnen BMW,,,,,,,
A52 - Space Gray Met.,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C52BE202464,C52,E202464,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,302,403,5AC,6FL,655,752",,"$70,675.00",,,https://bringatrailer.com/listing/2011-bmw-m3-sedan-competition-package-6-speed/,Orange County BMW,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C54BE202465,C54,E202465,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,302,494,655",,"$68,725.00",,550,,Stevens Creek BMW ,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C56BE202466,C56,E202466,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,302,494,507,6FL,752",,"$71,055.00",03-13-2010,550,,Shelly BMW,,,,,,,
381 - Le Mans Blue Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202467,C58,E202467,"MSRP.1,ZCW,ZPP.2,ZTP,2MK,302,6FL,6NF",,"$68,225.00",,550,,,,,,,,,
A73 - Jerez Black Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C5XBE202468,C5X,E202468,"MSRP.1,ZCW,223,403,639,6FL",,"$62,325.00",,550,,,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202469,C51,E202469,"MSRP.1,ZCW,ZPP.1,ZTP,507,5AC,6FL,6NF",,"$65,555.00",,550,,BMW of Fairfax ,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202470,C58,E202470,"MSRP.1,ZCP,ZPP.3,ZTP,2MK,403,494,655,6FL,752",,"$72,425.00",,,,BMW of Ontario,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202471,C5X,E202471,"MSRP.1,ZPP.1,ZTP,2MT.1,403,494,655,6FL,752",,"$68,225.00",,,,BMW of Hawaii,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C51BE202472,C51,E202472,"MSRP.1,ZCW,ZPP.2,ZTP,2MK,2MT.1,302,403,417,6FL,6NF,752",,"$72,950.00",,550,,BMW MINI of Concord,,,,,,,
A73 - Jerez Black Met.,,NDH3 - EXT. BAMBOO ,2011,WBSPM9C53BE202473,C53,E202473,"MSRP.1,ZCP,ZPP.1,ZTP,2MK,403,494",,"$71,425.00",,550/1100,,Passport BMW,,,,,,,
300 - Alpine White,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C55BE202474,C55,E202474,"MSRP.1,ZCP,ZPP.3,,ZTP,2MK,507,6FL.6NF",,"$68,605.00",03-15-2010,,TOTAL LOSS,New Century BMW,,,,,,,
300 - Alpine White,,NDH1 - EXT. PALLADIUM,2011,WBSPM9C57BE202475,C57,E202475,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,302,5AC,6FL,752",,"$70,375.00",,1100,,Sonnen BMW,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202476,C59,E202476,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,2MK,302,403,5AC,655,6FL,752",,"$74,125.00",,550,,BMW & Mini of Sterling,,,,,,,
300 - Alpine White,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C50BE202477,C50,E202477,"MSRP.1,2MK,2MT.1,403,771",,"$62,725.00",,,TOTAL LOSS,BMW of Pembroke Pines,,,,,,,
A30 - Interologos Blue Met.,,NDH1 - EXT. PALLADIUM,2011,WBSPM9C52BE202478,C52,E202478,"MSRP.1,ZPP.1,ZTP,2MK,302,417,465,5AC,655,6FL,6NF,752",,"$71,875.00",03-15-2010,550/1100,,Autogermana Inc.,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C54BE202479,C54,E202479,"MSRP.1,ZCW,ZPP.3,ZTP,403,417,6FL",,"$65,850.00",,,,BMW of San Francisco,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C50BE202480,C50,E202480,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,2MK,302,403,417,6FL,752",,"$74,100.00",,550,,BMW of Dallas / MINI of Dallas,,,,,,,
A52 - Space Gray Met.,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C52BE202481,C52,E202481,"MSRP.1,ZPP.3,ZTP,223,403,465,494,6FL,6NF",,"$66,950.00",,550,,Casey BMW,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C54BE202482,C54,E202482,"MSRP.1,ZCW,ZPP.3,ZTP,2MT.1,302,403,655,6FL,752",,"$69,125.00",,,,Bill Jacobs BMW-Mini,,,,,,,
A30 - Interologos Blue Met.,,NDSW - EXT. BLACK  NOVILLO LEATHER,2011,WBSPM9C56BE202483,C56,E202483,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,2MK,302,403,417,5AC,655,6FL,6NF,752",,"$75,950.00",,550/1100,,Park Ave BMW,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202484,C58,E202484,"MSRP.1,ZCW,ZPP.1,ZTP,2MT.1,302,403,6FL,752",,"$69,325.00",03-16-2010,550,,BMW of Darien,,,,,,,
A29 - SIlverstone II,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C5XBE202485,C5X,E202485,"MSRP.1,ZCW,ZPP.2,ZTP,223,2MT.1,403",,"$67,625.00",03-16-2010,550,TOTAL LOSS,BMW of Akron,,,,,,,
A29 - SIlverstone II,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202486,C51,E202486,"MSRP.1,ZCW,ZPP.1,ZTP,2MK,2MT.1,403,655,6FL,752",,"$72,175.00",,550,,Motor Werks BMW,,,,,,,
300 - Alpine White,,NDSW - EXT. BLACK  NOVILLO LEATHER,2011,WBSPM9C53BE202487,C53,E202487,"MSRP.1,ZCP,ZPP.3,ZTP,2MK,302,403,465,494,507,6FL,752",,"$74,430.00",,1100,,Shelly BMW,BMW of Riverside,,,,,,
300 - Alpine White,,NDSW - EXT. BLACK  NOVILLO LEATHER,2011,WBSPM9C55BE202488,C55,E202488,"MSRP.1,ZCP,ZPP.2,2MK,403,417,494,655,6FL,6NF,752",,"$71,000.00",,1100,,Bob Smith BMW,,,,,,,
381 - Le Mans Blue Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C57BE202489,C57,E202489,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,494,507",,"$68,355.00",03-19-2010,550,,Daniels BMW MINI,,,,,,,
381 - Le Mans Blue Met.,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C53BE202490,C53,E202490,"MSRP.1,ZPP.1,ZTP,2MT.1,417,494,655,6FL,752",,"$68,300.00",,550,,BMW of Peoria,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C55BE202491,C55,E202491,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,302,403,6FL,6NF",,"$69,275.00",,550,,Princeton BMW,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202492,C57,E202492,"MSRP.1,ZCW,ZPP.1,ZTP,403,655,6FL,6NF,752",,"$68,225.00",03-22-2010,550,TOTAL LOSS,Park Place Motor Cars,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202493,C59,E202493,"MSRP.1,ZCW,ZPP.1,ZTP,2MK,2MT.1,302,403,417,5AC",,"$70,750.00",,550,, BMW of Southpoint ,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C50BE202494,C50,E202494,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,403,655,6FL,752",,"$70,575.00",,550,,Erhard BMW,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C52BE202495,C52,E202495,"MSRP.1,ZTP,403,494,4MX",,"$64,375.00",03-31-2010,550/950,TOTAL LOSS,Prestige BMW,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C54BE202496,C54,E202496,"MSRP.1,ZCW,ZPP.2,ZTP,223,2MK,2MT.1,403,5AC,655,6FL",,"$71,525.00",,550,TOTAL LOSS,BMW of Atlantic City,,,,,,,
A73 - Jerez Black Met.,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C56BE202497,C56,E202497,"MSRP.1,ZCW,ZPP.3,ZTP,2MT.1,302,688",,"$65,975.00",,550,"CANADA ""SALVAGE""","Brian Jessel BMW, CAN",,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202498,C58,E202498,"MSRP.1,ZCW,ZPP.3,ZTP,403,655,6FL,6NF,752",,"$68,225.00",04-01-2010,550,,Thompson BMW,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202499,C5X,E202499,"MSRP.1,ZCP,ZPP.1,ZTP,2MK,403,655,6FL,752",,"$71,925.00",,,,BMW of San Diego,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C52BE202500,C52,E202500,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,2MT.1,403,655,6FL,6NF,752",,"$72,325.00",,550,"TOTAL LOSS Los Angeles, CA and imported to
The Netherlands",BMW of Freehold,Paul Miller BMW,,,,,,
A73 - Jerez Black Met.,,NDH2 - EXT. FOX RED NOVILLO,2011,WBSPM9C54BE202501,C54,E202501,"MSRP.1,ZCP,ZCW,ZPP.2,ZTP,403,5AC,655,6FL,6NF,752",,"$72,075.00",,550/1100,,BMW of Watertown,NJ,,,,,,
300 - Alpine White,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C56BE202502,C56,E202502,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,2MT.1,417,507,6FL",,"$69,280.00",04-01-2010,,Military?,,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202503,C58,E202503,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,2MK,302,403,507,655,6FL,752",,"$74,255.00",,550,,"Tom Bush BMW MINI,",,,,,,,
A75 - Melbourne Red Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202504,C5X,E202504,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,2MK,403,655,6FL,752",,"$73,475.00",,550,,Prestige BMW,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202505,C51,E202505,"MSRP.1,ZCP,ZPP.1,ZTP,2MK,403,465,494,655,6FL",,"$71,550.00",,550,,Capital Euro Cars,,,,,,,
A73 - Jerez Black Met.,,NDH3 - EXT. BAMBOO ,2011,WBSPM9C53BE202506,C53,E202506,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,403,494,507,655,6FL,6NF,752",,"$73,305.00",,550/1100,,Bert Ogden BMW,,,,,,,
A75 - Melbourne Red Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C55BE202507,C55,E202507,"MSRP.1,ZCP,ZCW,302,771",,"$62,025.00",,550,,Casey BMW,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202508,C57,E202508,"MSRP.1,ZCW,ZPP.3,ZTP,403,6FL",,"$65,275.00",,,,The BMW Store,,,,,,,
A52 - Space Gray Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C59BE202509,C59,E202509,"MSRP.1,ZPP.3,655,6FL",,"$60,875.00",,550,LEMON,Crevier BMW,,,,,,,
A52 - Space Gray Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C55BE202510,C55,E202510,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,302,403,417,507,5AC,655,6FL,6NF,752",,"$72,330.00",04-06-2010,550,Military/ Euro Delivery," AH Rhein Würzburg Zw.-Nl. der AH Heermann u. Rhein GmbH , Würzburg",,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202511,C57,E202511,"MSRP.1,ZCP,ZPP.3,ZTP,494,6FL,6NF",,"$66,375.00",,,,BMW Of Salem,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202512,C59,E202512,"MSRP.1,ZCP,ZPP.3,ZTP,2MK,302,403,465,494,507,655,6FL,6NF,752",,"$73,830.00",,,,Century West BMW,,,,,,,
668 - Jet Black,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C50BE202513,C50,E202513,"MSRP.1,ZCP,2MK,639,771",,"$63,725.00",,,,BMW Of Salem,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C52BE202514,C52,E202514,"MSRP.1,ZCP,ZPP.3,ZTP,2MK,403,494,507,655,6FL,6NF,752",,"$72,955.00",,,TOTAL LOSS,Century West BMW,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C54BE202515,C54,E202515,"MSRP.1,ZCW,ZPP.1,ZTP,2MK,2MT.1,302,403,507,655,6FL,752",,"$72,405.00",04-07-2010,,TOTAL LOSS,Yark BMW,,,,,,,
668 - Jet Black,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C56BE202516,C56,E202516,"MSRP.1,ZCP,ZCW,ZPP.2,ZTP,2MK,403,5AC,655,6FL,6NF,752",,"$73,325.00",,,,BMW of Watertown,,,,,,,
A52 - Space Gray Met.,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C58BE202517,C58,E202517,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,302,507,6FL,752",,"$70,355.00",,550,,Jackie Cooper BMW,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202518,C5X,E202518,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,494,655,6FL,6NF,752",,"$70,225.00",,,,Irvine BMW,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202519,C51,E202519,"MSRP.1,ZCP,ZCW,ZPP.3,ZTP,2MK,5AC,655,6FL,752",,"$72,125.00",04-07-2010,,,Audi West Palm Beach,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202520,C58,E202520,"MSRP.1,ZCP,ZPP.3,ZTP,2MK,494,507,655,6FL,752",,"$71,755.00",,,,BMW of the Woodlands,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202521,C5X,E202521,"MSRP.1,ZCP,ZPP.3,ZTP,2MK,302,494,507,655,6FL,6NF,752",,"$72,305.00",,,,Chapman BMW On Camelback,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C51BE202522,C51,E202522,"MSRP.1,ZCP,ZCW,ZPP.2,ZTP,2MK,302,403,507,5AC,655,6FL,6NF,752",,"$74,655.00",,550,,BMW of Mountain View,,,,,,,
A29 - SIlverstone II,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C53BE202523,C53,E202523,"MSRP.1,2MT.1,302,403,4MY",,"$62,225.00",04-08-2010,550/950,,BMW of Fairfax ,,,,,,,
