EXTERIOR,Development code,INTERIOR,Year,VIN,,,,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
A90 - Dark Graphite Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2021,5YMTS0C08M9D07074,,9D07074,2MK,,,"May 22, 2020",,USA,"BMW Laval, Laval, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C09M9D07178,,9D07178,2MK,,,"May 22, 2020",,USA,"BMW of Chattanooga, Chattanooga, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C06M9D07302,,9D07302,2MK,,,"May 26, 2020",,USA,"Bill Jacobs BMW/MINI, Naperville, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C09M9D07326,,9D07326,2MK,,,"May 26, 2020",,USA,"BMW of Murray, Murray, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C0XM9D07786,,9D07786,2MK,,,"May 27, 2020",,USA,"Flow BMW, Winston Salem, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C09M9D07844,,9D07844,2MK,,,"May 27, 2020",,USA,"Pacific BMW, Glendale, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C01M9D10611,,9D10611,2MK,,,"Jun 16, 2020",,USA,"Manheim New Jersey, Bordentown, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C04M9D17536,,9D17536,2MK,,,"Jun 10, 2020",,USA,"Bavarian Motor Cars GmbH, Würzburg, DE",,,,,,,,
C1N - Sunstone Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C07M9D23427,,9D23427,2MK,,,"Jun 15, 2020",,USA,"Bavarian Motor Cars GmbH, Würzburg, DE",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C0XM9D25186,,9D25186,2MK,,,"Jun 17, 2020",,USA,"Bavarian Motor Cars GmbH, Würzburg, DE",,,,,,,,
475 - Black Sapphire Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C00M9D26542,,9D26542,2MK,,,"Jun 17, 2020",,USA,"Brian Jessel BMW, Vancouver, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,MAOQ - Oyster Vernasca Leather,2021,5YMTS0C08M9D40740,,9D40740,2MK,,,"Jun 30, 2020",,USA,"BMW of Santa Maria, Santa Maria, US",,,,,,,,
C1N - Sunstone Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C04M9D45708,,9D45708,2MK,,,"Jul 6, 2020",,USA,"BMW of Honolulu, Honolulu, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C01M9D48713,,9D48713,2MK,,,"Jul 9, 2020",,USA,"Elmhurst BMW, Elmhurst, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C09M9D49057,,9D49057,2MK,,,"Jul 9, 2020",,USA,"Open Road BMW, Edison, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YM13EC06N9D50038,,9D50038,2MK,,,"Aug 29, 2020",,USA,"Fuhrpark, München, DE",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C01M9D50090,,9D50090,2MK,,,"Jul 9, 2020",,USA,"Bavarian Motor Cars GmbH, Würzburg, DE",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C0XM9D52906,,9D52906,2MK,,,"Jul 14, 2020",,USA,"Vista BMW, Coconut Creek, US",,,,,,,,
300 - Alpine White,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C0XM9D53148,,9D53148,2MK,,,"Jul 14, 2020",,USA,"BMW of Sarasota, Sarasota, US",,,,,,,,
C28 - Donington Grey Metallic,F97,MAH7 - Black Vernasca Leather,2021,5YMTS0C01M9D53183,,9D53183,2MK,,,"Jul 14, 2020",,USA,"BMW of Springfield, Springfield, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C09M9D57756,,9D57756,2MK,,,"Jul 16, 2020",,USA,"Parkview BMW, North York, CA",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C07M9D66570,,9D66570,2MK,,,"Jul 23, 2020",,USA,"BMW Laval, Laval, CA",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C00M9D66670,,9D66670,2MK,,,"Jul 23, 2020",,USA,"BMW Langley, Langley, CA",,,,,,,,
C3G - Toronto Red Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C04M9D67062,,9D67062,2MK,,,"Aug 27, 2020",,USA,"Nevada Auto Auction, Las Vegas, US",,,,,,,,
C3G - Toronto Red Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C06M9D67063,,9D67063,2MK,,,"Aug 27, 2020",,USA,"BMW MFG -- SC ICP -- SP Move, Greer, US",,,,,,,,
300 - Alpine White,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C0XM9D71777,,9D71777,2MK,,,"Jul 29, 2020",,USA,"BMW of Westchester, White Plains, US",,,,,,,,
C28 - Donington Grey Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C06M9D72750,,9D72750,2MK,,,"Jul 29, 2020",,USA,"Brian Jessel BMW, Vancouver, CA",,,,,,,,
C1M - Phytonic Blue Metallic,F97,MAOQ - Oyster Vernasca Leather,2021,5YMTS0C01M9D72848,,9D72848,2MK,,,"Jul 30, 2020",,USA,"O'Regan's BMW, Halifax, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C08M9D73219,,9D73219,2MK,,,"Jul 30, 2020",,USA,"BMW Toronto, Toronto, CA",,,,,,,,
300 - Alpine White,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2021,5YMTS0C00M9D75708,,9D75708,2MK,,,"Jul 31, 2020",,USA,"United BMW, Alpharetta, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,MAH7 - Black Vernasca Leather,2021,5YMTS0C03M9D76853,,9D76853,2MK,,,"Aug 1, 2020",,USA,"Continental BMW of Darien, Darien, US",,,,,,,,
300 - Alpine White,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C05M9D81715,,9D81715,2MK,,,"Aug 5, 2020",,USA,"Gebhardt BMW, Boulder, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C05M9D82248,,9D82248,2MK,,,"Aug 6, 2020",,USA,"Park Avenue BMW, Rochelle Park, US",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2021,5YMTS0C00M9D82562,,9D82562,2MK,,,"Aug 6, 2020",,USA,"Brian Jessel BMW, Vancouver, CA",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YM13EC03N9D84969,,9D84969,2MK,,,"Sep 10, 2020",,USA,"Fuhrpark, München, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C03M9D85052,,9D85052,2MK,,,"Aug 7, 2020",,USA,"Towne BMW, Williamsville, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C08M9D87329,,9D87329,2MK,,,"Aug 10, 2020",,USA,"Open Road BMW, Edison, US",,,,,,,,
C28 - Donington Grey Metallic,F97,MAH7 - Black Vernasca Leather,2021,5YMTS0C00M9D87468,,9D87468,2MK,,,"Aug 10, 2020",,USA,"BMW of Bridgeport, Bridgeport, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2021,5YMTS0C06M9D87555,,9D87555,2MK,,,"Aug 10, 2020",,USA,"BMW of Catonsville, Baltimore, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C03M9D87612,,9D87612,2MK,,,"Aug 11, 2020",,USA,"Momentum BMW/MINI, Houston, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C05M9D87773,,9D87773,2MK,,,"Aug 11, 2020",,USA,"BMW of Orland Park, Orland Park, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2021,5YMTS0C00M9D87826,,9D87826,2MK,,,"Aug 11, 2020",,USA,"BMW of Grapevine, Grapevine, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C05M9D89863,,9D89863,2MK,,,"Aug 12, 2020",,USA,"Elite BMW, Ottawa, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C07M9D90643,,9D90643,2MK,,,"Aug 13, 2020",,USA,"BMW of the Main Line, Bala Cynwyd, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2021,5YMTS0C09M9D90742,,9D90742,2MK,,,"Aug 13, 2020",,USA,"Fields BMW - Lakeland, Lakeland, US",,,,,,,,
