EXTERIOR,,INTERIOR,Year,VIN,,,Package Codes,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12753,,VA12753,,,,"Aug 16, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12754,,VA12754,,,,"Aug 16, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12755,,VA12755,2MK,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12756,,VA12756,,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12757,,VA12757,2MK,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12758,,VA12758,2MK,,,"Aug 17, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12759,,VA12759,,,,"Aug 17, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12760,,VA12760,,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12761,,VA12761,2MK,,,"Aug 17, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12762,,VA12762,2MK,,,"Aug 17, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12763,,VA12763,2MK,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12764,,VA12764,,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12765,,VA12765,,,,"Aug 17, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12766,,VA12766,2MK,,,"Aug 17, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12767,,VA12767,,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12768,,VA12768,,,,"Aug 17, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12769,,VA12769,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12770,,VA12770,,,,"Aug 18, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12771,,VA12771,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12772,,VA12772,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12773,,VA12773,,,,"Aug 18, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12774,,VA12774,,,,"Aug 18, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12775,,VA12775,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12776,,VA12776,,,,"Aug 18, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12777,,VA12777,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12778,,VA12778,,,,"Aug 18, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12779,,VA12779,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12780,,VA12780,,,,"Aug 18, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12781,,VA12781,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12782,,VA12782,,,,"Aug 18, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12783,,VA12783,,,,"Aug 18, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12784,,VA12784,,,,"Aug 18, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12785,,VA12785,,,,"Aug 18, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12786,,VA12786,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12787,,VA12787,,,,"Aug 18, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12788,,VA12788,,,,"Aug 18, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12789,,VA12789,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12790,,VA12790,,,,"Aug 18, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12791,,VA12791,2MK,,,"Aug 18, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12792,,VA12792,2MK,,,"Aug 19, 2017",,,"AH Euler Kaiserslautern GmbH, Kaiserslautern, DE",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12793,,VA12793,,,,"Aug 19, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12794,,VA12794,2MK,,,"Aug 19, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12795,,VA12795,,,,"Aug 19, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12796,,VA12796,,,,"Aug 19, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12797,,VA12797,2MK,,,"Aug 19, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12798,,VA12798,,,,"Aug 19, 2017",,,No information,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12799,,VA12799,2MK,,,"Aug 19, 2017",,,No information,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12800,,VA12800,2MK,,,"Aug 19, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12801,,VA12801,,,,"Aug 19, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12802,,VA12802,,,,"Aug 19, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12803,,VA12803,2MK,,,"Aug 19, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12804,,VA12804,2MK,,,"Aug 19, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12805,,VA12805,2MK,,,"Aug 19, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12806,,VA12806,,,,"Aug 21, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12807,,VA12807,,,,"Aug 21, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12808,,VA12808,2MK,,,"Aug 21, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12809,,VA12809,,,,"Aug 21, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12810,,VA12810,2MK,,,"Aug 22, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12811,,VA12811,2MK,,,"Aug 22, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12812,,VA12812,2MK,,,"Aug 22, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12813,,VA12813,,,,"Aug 22, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12814,,VA12814,2MK,,,"Aug 23, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12815,,VA12815,2MK,,,"Aug 23, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12816,,VA12816,,,,"Aug 24, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12817,,VA12817,,,,"Aug 24, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12818,,VA12818,2MK,,,"Aug 24, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12819,,VA12819,,,,"Aug 25, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12820,,VA12820,2MK,,,"Aug 25, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12821,,VA12821,2MK,,,"Aug 25, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12822,,VA12822,2MK,,,"Aug 25, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12823,,VA12823,2MK,,,"Aug 26, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12824,,VA12824,2MK,,,"Aug 26, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12825,,VA12825,,,,"Aug 28, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12826,,VA12826,,,,"Aug 28, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12827,,VA12827,2MK,,,"Aug 28, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12828,,VA12828,,,,"Aug 29, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12829,,VA12829,,,,"Aug 29, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12830,,VA12830,2MK,,,"Aug 29, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12831,,VA12831,2MK,,,"Aug 29, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12832,,VA12832,2MK,,,"Aug 30, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12833,,VA12833,2MK,,,"Aug 30, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12834,,VA12834,2MK,,,"Aug 30, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12835,,VA12835,,,,"Aug 30, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12836,,VA12836,2MK,,,"Aug 30, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12837,,VA12837,2MK,,,"Aug 30, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12838,,VA12838,,,,"Aug 30, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12839,,VA12839,,,,"Aug 30, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12840,,VA12840,2MK,,,"Aug 31, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12841,,VA12841,,,,"Aug 31, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12842,,VA12842,,,,"Aug 31, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12843,,VA12843,2MK,,,"Aug 31, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12844,,VA12844,,,,"Aug 31, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12845,,VA12845,2MK,,,"Aug 31, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12846,,VA12846,,,,"Aug 31, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12847,,VA12847,2MK,,,"Aug 31, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12848,,VA12848,2MK,,,"Aug 31, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12849,,VA12849,,,,"Aug 31, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12850,,VA12850,2MK,,,"Aug 31, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12851,,VA12851,,,,"Aug 31, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12852,,VA12852,2MK,,,"Aug 31, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12853,,VA12853,2MK,,,"Aug 31, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12854,,VA12854,,,,"Sep 1, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12855,,VA12855,2MK,,,"Sep 1, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12856,,VA12856,,,,"Sep 1, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12857,,VA12857,,,,"Sep 1, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12858,,VA12858,,,,"Sep 1, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12859,,VA12859,2MK,,,"Sep 1, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12860,,VA12860,,,,"Sep 1, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12861,,VA12861,,,,"Sep 1, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12862,,VA12862,2MK,,,"Sep 1, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12863,,VA12863,2MK,,,"Sep 1, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12864,,VA12864,2MK,,,"Sep 1, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12865,,VA12865,,,,"Sep 1, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12866,,VA12866,2MK,,,"Sep 1, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12867,,VA12867,2MK,,,"Sep 1, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12868,,VA12868,2MK,,,"Sep 1, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12869,,VA12869,,,,"Sep 1, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12870,,VA12870,,,,"Sep 1, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12871,,VA12871,2MK,,,"Sep 1, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12872,,VA12872,2MK,,,"Sep 1, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12873,,VA12873,2MK,,,"Sep 2, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12874,,VA12874,,,,"Sep 2, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12875,,VA12875,,,,"Sep 2, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12876,,VA12876,2MK,,,"Sep 2, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12877,,VA12877,2MK,,,"Sep 2, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12878,,VA12878,,,,"Sep 2, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12879,,VA12879,2MK,,,"Sep 4, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12880,,VA12880,,,,"Sep 4, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12881,,VA12881,2MK,,,"Sep 4, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12882,,VA12882,,,,"Sep 4, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12883,,VA12883,,,,"Sep 4, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12884,,VA12884,2MK,,,"Sep 4, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12885,,VA12885,,,,"Sep 4, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12886,,VA12886,2MK,,,"Sep 4, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12887,,VA12887,2MK,,,"Sep 4, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12888,,VA12888,2MK,,,"Sep 4, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12889,,VA12889,,,,"Sep 4, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12890,,VA12890,2MK,,,"Sep 4, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12891,,VA12891,2MK,,,"Sep 4, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12892,,VA12892,,,,"Sep 4, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12893,,VA12893,2MK,,,"Sep 4, 2017",,,,,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12894,,VA12894,2MK,,,"Sep 4, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12895,,VA12895,,,,"Sep 4, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12896,,VA12896,,,,"Sep 4, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12897,,VA12897,,,,"Sep 4, 2017",,,,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12898,,VA12898,,,,"Sep 4, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12899,,VA12899,,,,"Sep 4, 2017",,,,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12900,,VA12900,,,,"Sep 5, 2017",,,,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C50JVA12901,,VA12901,2MK,,,"Sep 5, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C52JVA12902,,VA12902,,,,"Sep 5, 2017",,,No information,,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C54JVA12903,,VA12903,,,,"Sep 5, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C56JVA12904,,VA12904,2MK,,,"Sep 5, 2017",,,No information,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12905,,VA12905,2MK,,,"Sep 5, 2017",,,"Pfaff BMW, Mississauga, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12906,,VA12906,2MK,,,"Sep 5, 2017",,,"Bavaria BMW, Edmonton, CAN",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12907,,VA12907,2MK,,,"Sep 5, 2017",,,No information,,,,,,,,
