EXTERIOR,,INTERIOR,Year,VIN,,,Package Codes,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C58JVA12483,,VA12483,,,,"Jul 6, 2017",,,"Parkview BMW, North York, CAN",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C5XJVA12484,,VA12484,2MK,,,"Jul 7, 2017",,,"Edmonton BMW, Edmonton, CAN",,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C51JVA12485,,VA12485,2MK,,,"Jul 7, 2017",,,"Stuart Budd&Sons Limited, CAN",,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C53JVA12486,,VA12486,,,,"Jul 7, 2017",,,"Pfaff BMW, Mississauga, CAN",,,,,,,,
475 - Black Sapphire Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12487,,VA12487,,,,"Jul 7, 2017",,,"BMW Autohaus, Thornhill, CAN",,,,,,,,
300 - Alpine White III,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12488,,VA12488,2MK,,,"Jul 7, 2017",,,BMW of Des Moines,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12489,,VA12489,,,,"Jul 7, 2017",,,BMW of Cape Cod,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C55JVA12490,,VA12490,,,,"Jul 7, 2017",,,Weatherford BMW,,,,,,,,
C16 - Long Beach Blue Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C57JVA12491,,VA12491,,,,"Jul 8, 2017",,,Northwest BMW,,,,,,,,
B39 - Mineral Grey Metallic,,LCNL - Black Vernasca Leather w. Blue Stitch,,WBS1J5C59JVA12492,,VA12492,2MK,,,"Jul 8, 2017",,,BMW of Brooklyn,,,,,,,,
