EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
A29 - Silverstone Metallic II,,NDSW - Black Extended Novillo Leather,2008,WBSWD935X8PY39031,,PY39031,"MSRP.3,ZPP.3,ZTP,2MT.1,653,655",,,06-28-2007,475/1100,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2008,WBSWD93518PY39032,,PY39032,"MSRP.3,ZPP.3,ZTP,2MT.1,653,655",,,06-28-2007,1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93538PY39033,,PY39033,"MSRP.3,ZPP.3,ZTP,2MT.1,494,653,655",,,06-28-2007,1100,,,,,,,,,,
A75 - Melbourne Red Metallic,,NCH2 - Fox Red Novillo Leather,2008,WBSWD93558PY39034,,PY39034,"MSRP.3,ZPP.1,2MT.1,302,322,494,507,609,6FL",,,06-25-2007,475,,,,,,,,,,
300 - Alpine White,,NDH2 - Fox Red Extended Leather,2008,WBSWD93578PY39035,,PY39035,"MSRP.3,ZPP.1,2MT.1,302,322,403,494,507,609,6FL",,,06-27-2007,1100,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93598PY39036,,PY39036,"MSRP.3,2MT.1,223,302,322,494,507,639,6FL,653,655,752,771",,,08-20-2007,475/950,,,,,,,,,,
A29 - Silverstone Metallic II,,NDH1 - Silver Novillo Extended Leather,2008,WBSWD93508PY39037,,PY39037,"MSRP.3,ZPP.1,ZTP,2MT.1,494,6FL,653,655",,,08-22-2007,475/1100,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NDH3 - Beige Novillo Extended Leather,2008,WBSWD93528PY39038,,PY39038,"MSRP.3,ZPP.3,2MT.1,302,322,494,507,609,6FL,655,752",,,08-23-2007,475/1100,,,,,,,,,,
300 - Alpine White,,NDSW - Black Extended Novillo Leather,2008,WBSWD93548PY39039,,PY39039,"MSRP.3,ZPP.3,2MT.1,302,322,494,6FL",,,08-23-2007,1100,,,,,,,,,,
300 - Alpine White,,NDH1 - Silver Novillo Extended Leather,2008,WBSWD93508PY39040,,PY39040,"MSRP.3,ZPP.3,ZTP,2MT.1,302,494,507,6FL,752",,,08-24-2007,1100,,,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2008,WBSWD93528PY39041,,PY39041,"MSRP.3,2MK,223,494,507,609,653,771",,,09-27-2007,475/950,,,,,,,,,,
A75 - Melbourne Red Metallic,,NDSW - Black Extended Novillo Leather,2008,WBSWD93548PY39042,,PY39042,"MSRP.3,ZPP.3,ZTP,2MT.1,302,494,507,6FL,752",,,10-01-2007,475/1100,,,,,,,,,,
