EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VIN fill done Sun Aug 10 2025 11:35:08 GMT-0500 (Central Daylight Time)
300 - Alpine White,,NCSW - Black Novillo Leather,2010,WBSPM9C53AE201970,C55,E201970,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,752",,"$70,775.00",,,2010 m3 VIN #1,BMW of Monterey,,,,,,,,
A30 - Interlagos Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,2010,WBSPM9C55AE201971,C55,E201971,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,6FL",,"$67,675.00",10-01-2009,550,,BMWNA WORKSHOP EAST ,,,,,,,,
A75 - Melbourne Red Metallic,,GEAT - Anthracite/Black Cloth & Leather,2010,WBSPM9C57AE201972,C55,E201972,"MSRP.1,ZCW,ZPP.3,ZTP,403,6FL,655,752",,"$68,075.00",10-08-2009,550,,,,,,,,,,
381 - Le Mans Blue Metallic,,GEAT - Anthracite/Black Cloth & Leather,2010,WBSPM9C59AE201973,C55,E201973,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,6FL,655,752",,"$69,925.00",,550,,,,,,,,,,
A52 - Space Gray Metallic,,NDH2 - Fox Red Extended Leather,2010,WBSPM9C50AE201974,C55,E201974,"MSRP.1,ZCW,ZTP,2MK,403,639,6FL,6NF,771",,"$69,625.00",09-01-2009,550/2000,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2010,WBSPM9C52AE201975,C55,E201975,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,2MT.1,302,403,417,507,5AC,6FL,655,752",,"$73,230.00",,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2010,WBSPM9C54AE201976,C55,E201976,"MSRP.1,ZPP.3,ZTP,6FL",,"$63,225.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2010,WBSPM9C56AE201977,C55,E201977,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,403,507,6FL,655",,"$69,655.00",,550,,BMW of Henderson,,,,,,,,
668 - Jet Black,,NDH2 - Fox Red Extended Leather,2010,WBSPM9C58AE201978,C55,E201978,"MSRP.1,ZPP.1,ZTP,2MT.1,494,655",,"$65,975.00",,1100,,,,,,,,,,
A52 - Space Gray Metallic,,NCH2 - FOX RED NOVILLO,2010,WBSPM9C5XAE201979,C55,E201979,"MSRP.1,ZCW,ZPP.3,ZTP,2MK,2MT.1,6FL,6NF,655",,"$69,375.00",,550,,Leith BMW Rolls-Royce Motor Cars Raleigh,,,,,,,,
A52 - Space Gray Metallic,,GEAT - Anthracite/Black Cloth & Leather,2010,WBSPM9C56AE201980,C55,E201980,"MSRP.1,ZTP,2MK,507,6FL,771",,"$65,055.00",,550,MILITARY,Autohaus Krauth GmbH & Co. KG,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2010,WBSPM9C58AE201981,C55,E201981,"MSRP.1,ZPP.2,ZTP,2MK,2MT.1,403,465,6FL,6NF,655,752",,"$71,250.00",,,,BMW North Scottsdale,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2010,WBSPM9C5XAE201982,C55,E201982,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,403,494,6FL,6NF,752",,"$70,925.00",,,,,,,,,,,,
300 - Alpine White,,NCSW - Black Novillo Leather,2010,WBSPM9C51AE201983,C55,E201983,"MSRP.1,ZPP.3,ZTP,302,417,507,6FL,655,752",,"$66,830.00",,,,"Braman BMW, MIAMI",,,,,,,,
381 - Le Mans Blue Metallic,,NDH3 - Beige Novillo Extended Leather,2010,WBSPM9C53AE201984,C55,E201984,"MSRP.1,ZCW,ZPP.2,ZTP,2MK,2MT.1,302,403,417,507,5AC,6FL,6NF,655,752",,"$75,030.00",,550/1100,,Shelly BMW,,,,,,,,
A30 - Interlagos Blue Metallic,,NCSW - Black Novillo Leather,2010,WBSPM9C55AE201985,C55,E201985,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,302,403,417,507,6FL,6NF,655,752",,"$72,680.00",,550,,,,,,,,,,
A73 - Jerez Black Metallic,,NCSW - Black Novillo Leather,2010,WBSPM9C57AE201986,C55,E201986,"MSRP.1,ZCW,ZPP.3,ZTP,403,507,6FL,655,752",,"$68,455.00",,550,,BMW Gallery,,,,,,,,
A30 - Interlagos Blue Metallic,,NCH1 - Silver Novillo Leather,2010,WBSPM9C59AE201987,C55,E201987,"MSRP.1,ZPP.3,ZTP,403,507,6FL,752",,"$67,105.00",,550,EURO DELIVERY/MILITARY,Autohaus Karl + Co. GmbH,,,,,,,,
,,GEAT - Anthracite/Black Cloth & Leather,2010,WBSPM9C59BE201988,C55,E201988,unknown,,"$2,175.00",,,,,,,,,,,,
A73 - Jerez Black Metallic,,NCH2 - FOX RED NOVILLO,2010,WBSPM9C52AE201989,C55,E201989,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,507,6FL",,"$68,255.00",,550,,,,,,,,,,
300 - Alpine White,,NCH3 - Beige Novillo Leather,2010,WBSPM9C59AE201990,C55,E201990,"MSRP.1,ZPP.3,ZTP,2MK,2MT.1,494,507,6FL,6NF",,"$68,355.00",,,,Autobahn Motorcars,,,,,,,,
