EXTERIOR,Development code,INTERIOR,Year,VIN,,,,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C52LLA57585,,LA57585,2MK,,,"Jan 29, 2018",,USA,"Fuhrpark, München, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C54LLA57586,,LA57586,2MK,,,"Feb 8, 2018",,USA,"Fuhrpark, München, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C5XLLA57592,,LA57592,2MK,,,"Apr 23, 2018",,USA,"Fuhrpark, München, DE",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C53LLA57594,,LA57594,2MK,,,"May 2, 2018",,USA,"Fuhrpark, München, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C55LLA57595,,LA57595,2MK,,,"Jun 16, 2018",,USA,"BMW OF NORTH AMERICA, Montvale, US",,,,,,,,
C1N - Sunstone Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C05LLA57598,,LA57598,2MK,,,"Sep 17, 2018",,USA,"Fuhrpark, München, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C07LLA57604,,LA57604,2MK,,,"Nov 9, 2018",,USA,"BMW Canada Marketing Cars, Richmond Hill, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C09LLA57605,,LA57605,2MK,,,"Dec 2, 2018",,USA,"Newburgh Auto Auction, Newburgh, US",,,,,,,,
C1N - Sunstone Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06LLA57609,,LA57609,2MK,,,"Jan 29, 2019",,USA,"Fuhrpark, München, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C00MLA57610,,LA57610,2MK,,,"Feb 15, 2019",,USA,"Fuhrpark, München, DE",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C06LLA57612,,LA57612,2MK,,,"Mar 11, 2019",,USA,"Nevada Auto Auction, Las Vegas, US",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C03LLA57650,,LA57650,2MK,,,"Apr 7, 2019",,USA,"Woodcliff Lake NJ Company Cars, Woodcliff Lake, US",,,,,,,,
