EXTERIOR,Development code,INTERIOR,Year,VIN,,,,PACKAGES,MSRP,PROD,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice,VPC
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C09LLA57636,,LA57636,2MK,,,"May 3, 2019",,USA,"Woodcliff Lake NJ Company Cars, Woodcliff Lake, US",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C06LLA57657,,LA57657,2MK,,,"May 16, 2019",,USA,"Atlanta Auto Auction/Manheim Greer, Red Oak, US",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C06LLA57755,,LA57755,2MK,,,"Jun 5, 2019",,USA,"Sterling BMW, Newport Beach, US",,,,,,,,
475 - Black Sapphire Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C01LLA57856,,LA57856,2MK,,,"Jul 7, 2019",,USA,"Budds' BMW Oakville, Oakville, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,MAH7 - Black Vernasca Leather,2020,5YMTS0C09LLA58026,,LA58026,2MK,,,"Jul 23, 2019",,USA,"Passport BMW, Suitland, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C0XLLT09732,,LT09732,2MK,,,"Jul 28, 2019",,USA,"Bobby Rahal BMW of South Hills, Canonsburg, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C06LLT09789,,LT09789,2MK,,,"Aug 1, 2019",,USA,"Alderson European Motors, Lubbock, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C08LLT10085,,LT10085,2MK,,,"Aug 16, 2019",,USA,"BMW of Oyster Bay, Oyster Bay, US",,,,,,,,
300 - Alpine White,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C08LLT10443,,LT10443,2MK,,,"Sep 2, 2019",,USA,"BMW of Fort Myers, Fort Myers, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C07LLT11003,,LT11003,2MK,,,"Sep 30, 2019",,USA,"BMW of Springfield, Springfield, US",,,,,,,,
300 - Alpine White,F97,MAH7 - Black Vernasca Leather,2020,5YMTS0C09L9B00904,,9B00904,2MK,,,"Oct 5, 2019",,USA,"Ferman BMW/Ferman MINI of Tampa Bay, Palm Harbor, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C07L9B00920,,9B00920,2MK,,,"Oct 5, 2019",,USA,"BMW of Catonsville, Baltimore, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C01L9B00928,,9B00928,2MK,,,"Oct 5, 2019",,USA,"Karl Knauz Motors, Lake Bluff, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C09L9B00952,,9B00952,2MK,,,"Oct 6, 2019",,USA,"Apple BMW of York, York, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C0XL9B00992,,9B00992,2MK,,,"Oct 6, 2019",,USA,"BMW of Mt. Kisco, Mount Kisco, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C03L9B01000,,9B01000,2MK,,,"Oct 6, 2019",,USA,"BMW Portland, Portland, US",,,,,,,,
C3G - Toronto Red Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C07L9B01016,,9B01016,2MK,,,"Oct 6, 2019",,USA,"BMW Northwest, Tacoma, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C08L9B01056,,9B01056,2MK,,,"Oct 6, 2019",,USA,"BMW of Eugene, Eugene, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06L9B01072,,9B01072,2MK,,,"Oct 6, 2019",,USA,"Stevens Creek BMW, Santa Clara, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C0XL9B01088,,9B01088,2MK,,,"Oct 6, 2019",,USA,"BMW of the Hudson Valley, Poughkeepsie, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C09L9B01096,,9B01096,2MK,,,"Oct 6, 2019",,USA,"BMW London, London, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C03L9B01112,,9B01112,2MK,,,"Oct 7, 2019",,USA,"BMW Sainte-Julie, Sainte-Julie, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C02L9B01120,,9B01120,2MK,,,"Oct 7, 2019",,USA,"BMW of Fort Lauderdale, Fort Lauderdale, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06L9B01136,,9B01136,2MK,,,"Oct 7, 2019",,USA,"BMW of Grapevine, Grapevine, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C05L9B01144,,9B01144,2MK,,,"Oct 7, 2019",,USA,"Elmhurst BMW, Elmhurst, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C03L9B01160,,9B01160,2MK,,,"Oct 7, 2019",,USA,"BMW of Murray, Murray, US",,,,,,,,
475 - Black Sapphire Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C06L9B01184,,9B01184,2MK,,,"Oct 7, 2019",,USA,"Chapman BMW, Chandler, US",,,,,,,,
475 - Black Sapphire Metallic,F97,MAH7 - Black Vernasca Leather,2020,5YMTS0C05L9B01192,,9B01192,2MK,,,"Oct 7, 2019",,USA,"McKenna BMW, Norwalk, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C05L9B01208,,9B01208,2MK,,,"Oct 7, 2019",,USA,"BMW Markham, Markham, CA",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06L9B01248,,9B01248,2MK,,,"Oct 7, 2019",,USA,"Pfaff BMW, Mississauga, CA",,,,,,,,
C1M - Phytonic Blue Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C08L9B03423,,9B03423,2MK,,,"Oct 7, 2019",,USA,"Long Beach BMW, Signal Hill, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C00L9B03447,,9B03447,2MK,,,"Oct 7, 2019",,USA,"BMW of Mountain View, Mountain View, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C08L9B03471,,9B03471,2MK,,,"Oct 7, 2019",,USA,"BMW of Grapevine, Grapevine, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C02L9B03479,,9B03479,2MK,,,"Oct 7, 2019",,USA,"BMW of Little Rock, Little Rock, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C01L9B03487,,9B03487,2MK,,,"Oct 7, 2019",,USA,"Park Avenue BMW, Rochelle Park, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06L9B03503,,9B03503,2MK,,,"Oct 7, 2019",,USA,"BMW of Lancaster, Lancaster, US",,,,,,,,
C3G - Toronto Red Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C0XL9B03519,,9B03519,2MK,,,"Oct 7, 2019",,USA,"BMW of Murray, Murray, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C09L9B03527,,9B03527,2MK,,,"Oct 7, 2019",,USA,"Bachrodt BMW, Rockford, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C08L9B03535,,9B03535,2MK,,,"Oct 7, 2019",,USA,"BMW of Norwood, Norwood, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C07L9B03543,,9B03543,2MK,,,"Oct 7, 2019",,USA,"BMW of Tigard, Tigard, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,MAH7 - Black Vernasca Leather,2020,5YMTS0C00L9B03559,,9B03559,2MK,,,"Oct 7, 2019",,USA,"Century West BMW, North Hollywood, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C09L9B03575,,9B03575,2MK,,,"Oct 7, 2019",,USA,"Karl Knauz Motors, Lake Bluff, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C08L9B03583,,9B03583,2MK,,,"Oct 7, 2019",,USA,"BMW Montreal Centre, Montreal, CA",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C07L9B03591,,9B03591,2MK,,,"Oct 7, 2019",,USA,"BMW Royal Oak, Calgary, CA",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C07L9B03607,,9B03607,2MK,,,"Oct 7, 2019",,USA,"BMW of Houston Midtown, Houston, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06L9B03615,,9B03615,2MK,,,"Oct 7, 2019",,USA,"BMW of Omaha/MINI of Omaha, Omaha, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C04L9B03631,,9B03631,2MK,,,"Oct 8, 2019",,USA,"BMW of Mountain View, Mountain View, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C08L9B03647,,9B03647,2MK,,,"Oct 8, 2019",,USA,"BMW of Austin, Austin, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C05L9B03671,,9B03671,2MK,,,"Oct 8, 2019",,USA,"Basney BMW, South Bend, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C0XL9B03679,,9B03679,2MK,,,"Oct 8, 2019",,USA,"Nick Alexander Imports, Los Angeles, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C09L9B03687,,9B03687,2MK,,,"Oct 8, 2019",,USA,"BMW of Palm Springs, Palm Springs, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C03L9B03703,,9B03703,2MK,,,"Oct 8, 2019",,USA,"BMW of Murray, Murray, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C07L9B04076,,9B04076,2MK,,,"Oct 8, 2019",,USA,"BMW of Houston Midtown, Houston, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C06L9B04084,,9B04084,2MK,,,"Oct 8, 2019",,USA,"BMW of Fort Lauderdale, Fort Lauderdale, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C00L9B04100,,9B04100,2MK,,,"Oct 8, 2019",,USA,"Vista BMW, Coconut Creek, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C03L9B04124,,9B04124,2MK,,,"Oct 8, 2019",,USA,"BMW of Bridgeport, Bridgeport, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C02L9B04132,,9B04132,2MK,,,"Oct 8, 2019",,USA,"BMW of Southampton, Southampton, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C01L9B04140,,9B04140,2MK,,,"Oct 8, 2019",,USA,"I. G. Burton BMW, Milford, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C03L9B04172,,9B04172,2MK,,,"Oct 8, 2019",,USA,"BMW of Idaho Falls, Idaho Falls, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C07L9B04188,,9B04188,2MK,,,"Oct 8, 2019",,USA,"Gebhardt BMW, Boulder, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06L9B04196,,9B04196,2MK,,,"Oct 8, 2019",,USA,"BMW of Milwaukee North, Milwaukee, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C00L9B04212,,9B04212,2MK,,,"Oct 8, 2019",,USA,"Sharpe BMW, Grand Rapids, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C04L9B04228,,9B04228,2MK,,,"Oct 8, 2019",,USA,"BMW Tucson, Tucson, US",,,,,,,,
C28 - Donington Grey Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C02L9B04244,,9B04244,2MK,,,"Oct 8, 2019",,USA,"BMW of Traverse City, Traverse City, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C01L9B04252,,9B04252,2MK,,,"Oct 8, 2019",,USA,"Hendrick BMW, Charlotte, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C05L9B04268,,9B04268,2MK,,,"Oct 8, 2019",,USA,"BMW of Gwinnett Place, Duluth, US",,,,,,,,
C28 - Donington Grey Metallic,F97,MAH7 - Black Vernasca Leather,2020,5YMTS0C04L9B04276,,9B04276,2MK,,,"Oct 8, 2019",,USA,"Flemington BMW, Flemington, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C02L9B04292,,9B04292,2MK,,,"Oct 8, 2019",,USA,"Valencia BMW, Valencia, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C08L9B04300,,9B04300,2MK,,,"Oct 8, 2019",,USA,"Century West BMW, North Hollywood, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C01L9B04316,,9B04316,2MK,,,"Oct 8, 2019",,USA,"BMW of Lancaster, Lancaster, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C00L9B04324,,9B04324,2MK,,,"Oct 9, 2019",,USA,"South Shore BMW, Rockland, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C0XL9B04332,,9B04332,2MK,,,"Oct 9, 2019",,USA,"BMW of Owings Mills, Owings Mills, US",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C03L9B04348,,9B04348,2MK,,,"Oct 9, 2019",,USA,"Patrick BMW, Schaumburg, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C02L9B04356,,9B04356,2MK,,,"Oct 9, 2019",,USA,"BMW of Tulsa, Tulsa, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C01L9B04364,,9B04364,2MK,,,"Oct 9, 2019",,USA,"BMW of Raleigh, Raleigh, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C02L9B05779,,9B05779,2MK,,,"Oct 9, 2019",,USA,"Schomp BMW of Highlands Ranch, Highlands Ranch, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C08L9B05835,,9B05835,2MK,,,"Oct 9, 2019",,USA,"BMW of Murray, Murray, US",,,,,,,,
300 - Alpine White,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C06L9B05851,,9B05851,2MK,,,"Oct 9, 2019",,USA,"Germain BMW of Naples, Naples, US",,,,,,,,
C1N - Sunstone Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C0XL9B05867,,9B05867,2MK,,,"Oct 9, 2019",,USA,"Germain BMW of Naples, Naples, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C07L9B05907,,9B05907,2MK,,,"Oct 10, 2019",,USA,"BMW of South Austin, Austin, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,MAOQ - Oyster Vernasca Leather,2020,5YMTS0C05L9B05923,,9B05923,2MK,,,"Oct 10, 2019",,USA,"BMW of Asheville, Arden, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C08L9B05995,,9B05995,2MK,,,"Oct 10, 2019",,USA,"BMW Cleveland, Solan, US",,,,,,,,
300 - Alpine White,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C02L9B06043,,9B06043,2MK,,,"Oct 10, 2019",,USA,"Germain BMW of Naples, Naples, US",,,,,,,,
C28 - Donington Grey Metallic,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C03L9B06083,,9B06083,2MK,,,"Oct 10, 2019",,USA,"Rusnak BMW, Thousand Oaks, US",,,,,,,,
300 - Alpine White,F97,MAH7 - Black Vernasca Leather,2020,5YMTS0C02L9B06107,,9B06107,2MK,,,"Oct 10, 2019",,USA,"BMW of Buena Park, Buena Park, US",,,,,,,,
300 - Alpine White,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C0XL9B06131,,9B06131,2MK,,,"Oct 10, 2019",,USA,"Roadshow BMW/MINI, Cordova, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C03L9B06147,,9B06147,2MK,,,"Oct 10, 2019",,USA,"Fields BMW of Daytona, Daytona Beach, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C02L9B06219,,9B06219,2MK,,,"Oct 10, 2019",,USA,"BMW of Bowling Green, Bowling Green, US",,,,,,,,
C3G - Toronto Red Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C01L9B06227,,9B06227,2MK,,,"Oct 10, 2019",,USA,"BMW of Denver Downtown, Denver, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C0XL9B06243,,9B06243,2MK,,,"Oct 10, 2019",,USA,"BMW Cleveland, Solan, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C09L9B06251,,9B06251,2MK,,,"Oct 10, 2019",,USA,"Roadshow BMW/MINI, Cordova, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C03L9B06259,,9B06259,2MK,,,"Oct 10, 2019",,USA,"BMW of Southampton, Southampton, US",,,,,,,,
300 - Alpine White,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C02L9B06267,,9B06267,2MK,,,"Oct 10, 2019",,USA,"BMW of Norwood, Norwood, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C07L9B06331,,9B06331,2MK,,,"Oct 10, 2019",,USA,"BMW of Denver Downtown, Denver, US",,,,,,,,
475 - Black Sapphire Metallic,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C00L9B06347,,9B06347,2MK,,,"Oct 10, 2019",,USA,"BMW of Reading, Reading, US",,,,,,,,
300 - Alpine White,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C0XL9B06355,,9B06355,2MK,,,"Oct 10, 2019",,USA,"BMW of Denver Downtown, Denver, US",,,,,,,,
300 - Alpine White,F97,HDJA - Black/Midrand Beige Two-Tone Merino Leather / Alcantara,2020,5YMTS0C08L9B06371,,9B06371,2MK,,,"Oct 10, 2019",,USA,"BMW of Kansas City South, Kansas CIty, US",,,,,,,,
475 - Black Sapphire Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C02L9B06379,,9B06379,2MK,,,"Oct 10, 2019",,USA,"BMW of Norwood, Norwood, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C00L9B06395,,9B06395,2MK,,,"Oct 10, 2019",,USA,"Orange County BMW, Harriman, US",,,,,,,,
C3G - Toronto Red Metallic,F97,VAEW - BMW Individual Ivory White Extended Merino Leather,2020,5YMTS0C06L9B06403,,9B06403,2MK,,,"Oct 10, 2019",,USA,"Apple BMW of York, York, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C0XL9B06419,,9B06419,2MK,,,"Oct 10, 2019",,USA,"BMW of Roseville, Roseville, US",,,,,,,,
C1M - Phytonic Blue Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C08L9B06435,,9B06435,2MK,,,"Oct 10, 2019",,USA,"BMW of Fairfax, Fairfax, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,MAOQ - Oyster Vernasca Leather,2020,5YMTS0C07L9B06443,,9B06443,2MK,,,"Oct 10, 2019",,USA,"BMW of Roseville, Roseville, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,MAOQ - Oyster Vernasca Leather,2020,5YMTS0C00L9B06459,,9B06459,2MK,,,"Oct 10, 2019",,USA,"BMW of Gwinnett Place, Duluth, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C0XL9B06467,,9B06467,2MK,,,"Oct 10, 2019",,USA,"BMW of Eugene, Eugene, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C08L9B06483,,9B06483,2MK,,,"Oct 10, 2019",,USA,"BMW of Alexandria, Alexandria, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C01L9B06499,,9B06499,2MK,,,"Oct 10, 2019",,USA,"Crevier BMW, Santa Ana, US",,,,,,,,
300 - Alpine White,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C07L9B06507,,9B06507,2MK,,,"Oct 10, 2019",,USA,"BMW of Roseville, Roseville, US",,,,,,,,
A90 - Dark Graphite Metallic,F97,LKSW - Black Extended Merino Leather,2020,5YMTS0C06L9B06515,,9B06515,2MK,,,"Oct 10, 2019",,USA,"Century West BMW, North Hollywood, US",,,,,,,,
300 - Alpine White,F97,LKDA - Sakhir Orange Extended Merino Leather,2020,5YMTS0C04L9B06531,,9B06531,2MK,,,"Oct 10, 2019",,USA,"Crevier BMW, Santa Ana, US",,,,,,,,
C28 - Donington Grey Metallic,F97,LKHV - Adelaide Grey Extended Merino Leather,2020,5YMTS0C09L9B06539,,9B06539,2MK,,,"Oct 10, 2019",,USA,"BMW of Wichita Falls, Wichita Falls, US",,,,,,,,
300 - Alpine White,F97,VATQ - BMW Individual Tartufo Extended Merino Leather,2020,5YMTS0C08L9B06547,,9B06547,2MK,,,"Oct 10, 2019",,USA,"BMW of Mt. Laurel, Mount Laurel, US",,,,,,,,
